ID_Talhao,Umidade_Solo,pH_Solo,Temperatura_Ambiente,Nivel_N,Historico_Irrigacao_mm,Produtividade_Esperada
7,45.36093191121974,4.239154101970527,26.474086984432468,218.92040564685857,69.56487827647204,8497.24
4,73.56573516374405,4.190109241187274,37.98468511431682,196.57488739381552,22.024023625463915,7041.58
8,65.5777743155293,7.731036287409193,19.402386783264866,263.13574719219514,47.18122744187771,10000.0
5,36.13275985351198,7.295177671018404,20.348925967205922,90.22675661654435,59.102040490666774,7472.06
7,85.12503133564479,8.010652790637938,15.325739193927093,265.73938754634145,64.10653083454706,8326.69
10,77.4050782274452,4.52683766976403,15.354751234894179,243.16292057449414,50.255288365807125,8176.36
3,31.38135628725825,4.1778543351777415,35.73479067396281,232.0034231246751,19.85255463919954,6400.5
7,69.08203265929477,6.542896447237892,33.3030651710739,181.5390330802295,22.839750609826254,9964.66
8,76.27480011118428,5.937976157413848,23.87602641129896,96.48592346206202,1.4530622486774947,7112.92
5,52.46612218322532,6.309734683354779,32.457778930689315,144.357937317812,53.26201843700568,10000.0
4,34.13529236203313,8.95794204435137,24.880148157749254,244.26407672547643,2.991772424336596,6532.55
8,34.639263929327235,8.853749788353351,38.822419899945686,38.5801907764776,60.5256648221922,5226.83
8,36.25481796310857,8.711576948365964,39.17631703565087,241.15370770121473,8.306243013217715,6513.59
3,80.42637791882538,7.919213383838369,24.819844395233584,94.81909993164295,12.031355849514698,5841.1
6,84.64117189534278,5.774206801284452,36.3555476585217,68.96348419483282,33.35685295825661,6579.28
5,37.368646910744026,6.0606546513138575,34.32722604243665,61.23935590868158,51.65162906181197,7756.2
2,44.15436207570487,6.748080218594622,22.749998429294735,37.357503226720084,9.730154363935439,7569.17
8,39.93123062203739,8.152672282024199,20.80099572252765,171.3683510097923,30.80497525465489,7303.47
6,41.17925276964724,4.343564162591338,26.455866259820844,88.93016562730696,33.79958920870733,6051.18
2,80.24944734014952,6.121484429424441,34.53372101536016,297.1465767605005,14.859994916801393,9626.26
5,49.928784759296335,4.413088317296343,39.004194618218634,185.09792408549555,8.08908636764422,6882.1
1,48.686655842738475,6.573287932867558,34.08947672166431,67.22902272612282,58.54946460899477,8477.4
10,43.64373725262676,8.494504120031177,36.38017462545925,215.96588601906865,35.172595483393586,7381.21
6,66.47366362765553,7.91242462281969,30.076607654262915,272.39076295762584,1.0066865188907081,9111.06
9,52.75834190313293,5.13921208771555,35.88519577105315,231.19846374979588,56.20869109163727,9803.27
1,74.65497911059734,8.879954247993961,34.61052145008544,50.63876248065087,68.65556637902094,6787.83
10,42.334788502538245,7.336751990232142,24.424638548157002,271.8887289220181,42.41483367899731,9439.26
3,77.26739332286954,4.052138496987015,28.799757553018026,244.36093418219048,35.25958709588495,7701.15
7,66.22329190380833,5.2770674234260975,35.118828049742376,72.74205302851587,61.489110413147316,8625.96
4,36.85603800334127,5.303566499599583,16.15141835474891,43.982189957860555,66.6761752779219,6674.28
9,54.870275052217664,4.3462715314292995,35.20198205889575,180.4738553348633,52.81758411317224,8435.77
3,81.81108843677742,8.799132590379646,19.447203101225586,72.12966906179376,31.18170508140015,5329.34
5,85.3776139079091,6.3912764728796185,27.867090428035972,255.33955720072345,41.45549795320083,9332.58
3,57.94200733912879,8.47907298685941,35.20688598889844,126.75035730135191,49.06547555125995,8140.01
7,58.850218685344416,5.6110775172231415,21.34552695391737,276.48096007887534,13.5991499701261,10000.0
5,85.10728349635806,4.626167852164135,21.145185982653825,182.73580647807157,31.30407225515066,6708.73
9,65.22409344819403,6.371680549531069,25.069109961556297,79.3215437447104,58.08748853020995,9754.19
7,31.9708002146063,4.569783173571586,37.36606993944086,67.69169418714603,45.83077439489101,5381.46
2,84.76496777274772,6.430077514887699,15.011069535930197,185.64755814059356,28.784284704829787,8022.79
4,44.89358656542912,8.60148590609704,37.53457741604838,235.70857520285986,46.4353773810277,7741.14
9,64.65791724549283,6.603840709171063,18.845175616040194,241.00652489038916,8.275568845072192,10000.0
2,39.93079904567843,7.082498634475417,39.75215940168705,104.45449919914594,28.104832739541344,6981.75
10,32.0327496147957,4.7831921848690415,38.8711748259617,85.14662490628521,55.51899765741395,5892.83
9,48.688390267965445,4.218678129399848,27.366879739782085,34.52420221294325,15.43561509956536,5675.2
10,76.82974245276526,4.554039810899035,27.818006195315704,213.38377082431572,13.01730552901924,7002.08
5,46.65523035776509,6.992657878421828,27.038733506896357,50.673429777055524,66.5573061941502,9030.0
2,43.205832844865824,4.475058494961523,30.886091141488066,143.60552447679999,14.692834071036149,6346.29
